Report;Date;Time of submition;Location;Activity;Quantity;Size;Species;Stinging Water;Report ID;Distance from coast;Jellies on the beach;Year;Season;Month;Gold;Website version;Week;Area;Zone;Lat.;Long.;bounding
Offshore;01/07/2011;9;Had-Jsr;Yacht;50;Oct-30;Rhopilema nomadica;1;116;200 meters-1 mile;1;2011;Summer;7;1;1.0;27;Center;9;32.355448;34.790955;100,456.34,600
Offshore;01/07/2011;9;Had-Jsr;Yacht;50;Oct-30;Rhizostoma pulmo;1;117;200 meters-1 mile;1;2011;Summer;7;1;1.0;27;Center;9;32.355448;34.790955;100,456.34,600
Offshore;01/07/2011;10;Nat-Mich;Fishing;50;30-60;Rhopilema nomadica;Unspecified;118;1-6 miles;1;2011;Summer;7;1;1.0;27;Center;11;32.355448;34.790955;100,456.34,600
Offshore;01/07/2011;10;Nat-Mich;Fishing;50;0-10;Rhizostoma pulmo;Unspecified;119;1-6 miles;1;2011;Summer;7;1;1.0;27;Center;11;32.355448;34.790955;100,456.34,600
Offshore;01/07/2011;10;Nat-Mich;Fishing;10;Unspecified;Philorhiza punctata;Unspecified;120;1-6 miles;1;2011;Summer;7;1;1.0;27;Center;11;32.355448;34.790955;100,456.34,600
Offshore;01/07/2011;9;Ask-Ash;Other;50;30-60;Rhopilema nomadica;Unspecified;113;200 meters-1 mile;1;2011;Summer;7;1;1.0;27;South;19;31.809739;34.568481;100,456.34,600
Offshore;01/07/2011;9;Ask-Ash;Other;10;Oct-30;Rhizostoma pulmo;Unspecified;114;200 meters-1 mile;1;2011;Summer;7;1;1.0;27;South;19;31.809739;34.568481;100,456.34,600
Offshore;01/07/2011;9;Ask-Ash;Other;10;Oct-30;Philorhiza punctata;Unspecified;115;200 meters-1 mile;1;2011;Summer;7;1;1.0;27;South;19;31.809739;34.568481;100,456.34,600
Offshore;02/07/2011;11;Aco-Nah;Other;50;30-60;Rhopilema nomadica;1;121;200 meters-1 mile;0;2011;Summer;7;0;1.0;27;North;2;32.849519;34.943390;100,456.34,600
Inshore;03/07/2011;7;Ask-Ash;Other;50;30-60;Rhopilema nomadica;1;122;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;03/07/2011;18;Jaf-Tlv;Walking on Beach;50;30-60;Rhopilema nomadica;Unspecified;123;Unspecified;1;2011;Summer;7;1;1.0;28;South;15;31.809739;34.568481;100,456.34,600
Inshore;03/07/2011;18;Jaf-Tlv;Walking on Beach;50;30-60;Rhizostoma pulmo;Unspecified;124;Unspecified;1;2011;Summer;7;1;1.0;28;South;15;31.809739;34.568481;100,456.34,600
Inshore;04/07/2011;9;Dor-Atl;Swimming;10;Oct-60;Rhopilema nomadica;Unspecified;125;Unspecified;1;2011;Summer;7;0;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Inshore;04/07/2011;12;Shq-Hbay;Swimming;10;0-10;Rhopilema nomadica;1;138;Unspecified;1;2011;Summer;7;0;1.0;28;North;4;32.849519;34.943390;100,456.34,600
Inshore;04/07/2011;12;Dor-Atl;Other;50;0-30;Rhopilema nomadica;1;126;Unspecified;1;2011;Summer;7;1;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Inshore;04/07/2011;12;Dor-Atl;Other;50;Oct-30;Rhizostoma pulmo;1;127;Unspecified;1;2011;Summer;7;1;1.0;28;North;7;32.849519;34.943390;100,456.34,600
Inshore;04/07/2011;9;Had-Jsr;Diving;50;0-60;Rhopilema nomadica;Unspecified;128;Unspecified;0;2011;Summer;7;1;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Offshore;04/07/2011;9;Had-Jsr;Kayak;50;30-60;Rhopilema nomadica;Unspecified;129;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Inshore;04/07/2011;9;Had-Jsr;Diving;10;0-10;Rhizostoma pulmo;Unspecified;130;Unspecified;0;2011;Summer;7;1;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Offshore;04/07/2011;9;Had-Jsr;Kayak;50;Oct-30;Rhizostoma pulmo;Unspecified;131;1-6 miles;1;2011;Summer;7;1;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Inshore;04/07/2011;12;Jsr-Dor;Other;50;30-60;Rhopilema nomadica;Unspecified;132;Unspecified;1;2011;Summer;7;1;1.0;28;Center;8;32.355448;34.790955;100,456.34,600
Inshore;04/07/2011;12;Jsr-Dor;Other;10;Oct-30;Rhizostoma pulmo;Unspecified;133;Unspecified;0;2011;Summer;7;1;1.0;28;Center;8;32.355448;34.790955;100,456.34,600
Inshore;04/07/2011;14;Rsh-Jaf;Swimming;2;30-60;Rhopilema nomadica;1;134;Unspecified;1;2011;Summer;7;0;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Inshore;04/07/2011;14;Rsh-Jaf;Swimming;2;30-60;Rhizostoma pulmo;1;137;Unspecified;1;2011;Summer;7;0;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Offshore;04/07/2011;18;Rsh-Jaf;Other;50;30-60;Rhopilema nomadica;Unspecified;135;200 meters-1 mile;1;2011;Summer;7;0,5;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Offshore;04/07/2011;18;Rsh-Jaf;Other;0;Unspecified;0;Unspecified;136;200 meters-1 mile;1;2011;Summer;7;0,5;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Offshore;05/07/2011;14;Had-Jsr;Yacht;50;Oct-30;Aurelia aurita;1;139;1-6 miles;1;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;14;Had-Jsr;Yacht;50;30-60;Rhopilema nomadica;1;140;1-6 miles;1;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;14;Had-Jsr;Yacht;50;Oct-30;Rhizostoma pulmo;1;141;1-6 miles;1;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;15;Nat-Mich;Other;50;Oct-30;Aurelia aurita;1;153;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;Center;11;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;15;Nat-Mich;Other;50;Oct-30;Rhopilema nomadica;1;154;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;Center;11;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;15;Nat-Mich;Other;10;Oct-30;Philorhiza punctata;1;155;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;Center;11;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;13;Tlv-Hrz;Yacht;0;Unspecified;0;Unspecified;156;200 meters-1 mile;0;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;13;Tlv-Hrz;Yacht;50;30-60;Rhizostoma pulmo;Unspecified;157;200 meters-1 mile;0;2011;Summer;7;0;1.0;28;Center;14;32.355448;34.790955;100,456.34,600
Inshore;05/07/2011;10;Jsr-Dor;Swimming;2;Oct-30;Rhizostoma pulmo;Unspecified;143;Unspecified;1;2011;Summer;7;1;1.0;28;Center;8;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;12;Mich-Had;Other;50;Oct-30;Rhopilema nomadica;Unspecified;144;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;11;Mich-Had;Other;50;Oct-30;Rhopilema nomadica;Unspecified;145;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Inshore;05/07/2011;13;Mich-Had;Swimming;50;30-60;Rhopilema nomadica;1;146;Unspecified;1;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Inshore;05/07/2011;13;Mich-Had;Swimming;2;0-10;Rhizostoma pulmo;1;147;Unspecified;0;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;12;Mich-Had;Other;50;Oct-30;Rhizostoma pulmo;Unspecified;148;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;11;Mich-Had;Other;50;Oct-30;Rhizostoma pulmo;Unspecified;149;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Inshore;05/07/2011;13;Mich-Had;Swimming;2;Oct-30;Philorhiza punctata;1;150;Unspecified;0;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;12;Mich-Had;Other;2;0-10;Philorhiza punctata;Unspecified;151;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Offshore;05/07/2011;11;Mich-Had;Other;10;0-10;Philorhiza punctata;Unspecified;152;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Inshore;05/07/2011;10;Jaf-Tlv;Diving;2;Oct-30;Rhizostoma pulmo;1;142;Unspecified;1;2011;Summer;7;1;1.0;28;South;15;31.809739;34.568481;100,456.34,600
Offshore;06/07/2011;0;Shq-Hbay;Other;50;Oct-30;Rhopilema nomadica;Unspecified;164;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;North;4;32.849519;34.943390;100,456.34,600
Offshore;06/07/2011;16;Mich-Had;Other;50;Over 60;Rhopilema nomadica;1;159;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Offshore;06/07/2011;16;Mich-Had;Other;10;30-60;Rhizostoma pulmo;1;160;200 meters-1 mile;1;2011;Summer;7;0;1.0;28;Center;10;32.355448;34.790955;100,456.34,600
Inshore;06/07/2011;18;Nat-Mich;Swimming;2;30-60;Rhizostoma pulmo;Unspecified;161;Unspecified;1;2011;Summer;7;0;1.0;28;Center;11;32.355448;34.790955;100,456.34,600
Inshore;06/07/2011;0;Ask-Ash;Swimming;50;30-60;Rhopilema nomadica;1;158;Unspecified;1;2011;Summer;7;0;1.0;28;South;19;31.809739;34.568481;100,456.34,600
Inshore;06/07/2011;15;Rsh-Jaf;Surfing;0;Unspecified;0;1;162;Unspecified;1;2011;Summer;7;0;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Offshore;06/07/2011;16;Rsh-Jaf;Other;10;Oct-30;Rhopilema nomadica;Unspecified;163;200 meters-1 mile;1;2011;Summer;7;0,5;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Inshore;07/07/2011;11;Aco-Nah;Swimming;10;30-60;Rhopilema nomadica;1;165;Unspecified;1;2011;Summer;7;0;1.0;28;North;2;32.849519;34.943390;100,456.34,600
Inshore;07/07/2011;15;Had-Jsr;Surfing;10;Oct-30;Rhopilema nomadica;1;166;Unspecified;1;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Inshore;07/07/2011;16;Had-Jsr;Swimming;50;30-60;Rhopilema nomadica;1;167;Unspecified;1;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Inshore;07/07/2011;15;Had-Jsr;Surfing;2;30-60;Rhizostoma pulmo;1;168;Unspecified;1;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Inshore;07/07/2011;15;Had-Jsr;Surfing;2;0-10;Philorhiza punctata;1;169;Unspecified;0;2011;Summer;7;0;1.0;28;Center;9;32.355448;34.790955;100,456.34,600
Inshore;07/07/2011;9;Nat-Mich;Walking on Beach;0;Unspecified;0;Unspecified;173;Unspecified;0;2011;Summer;7;0;1.0;28;Center;11;32.355448;34.790955;100,456.34,600
Inshore;07/07/2011;17;Nat-Mich;Swimming;0;Unspecified;0;1;174;Unspecified;1;2011;Summer;7;0;1.0;28;Center;11;32.355448;34.790955;100,456.34,600
Inshore;07/07/2011;9;Jsr-Dor;Diving;2;Oct-30;Rhizostoma pulmo;Unspecified;170;Unspecified;1;2011;Summer;7;1;1.0;28;Center;8;32.355448;34.790955;100,456.34,600
Offshore;07/07/2011;9;Jsr-Dor;Other;2;Oct-30;Cotylorhiza tuberculata;Unspecified;171;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;8;32.355448;34.790955;100,456.34,600
Offshore;07/07/2011;9;Jsr-Dor;Other;2;Oct-30;Cassiopea andromeda;Unspecified;172;200 meters-1 mile;1;2011;Summer;7;1;1.0;28;Center;8;32.355448;34.790955;100,456.34,600
Inshore;07/07/2011;17;Plm-Rsh;Walking on Beach;10;30-60;Rhopilema nomadica;Unspecified;175;Unspecified;1;2011;Summer;7;0;1.0;28;South;17;31.809739;34.568481;100,456.34,600
Inshore;07/07/2011;17;Plm-Rsh;Walking on Beach;2;30-60;Rhizostoma pulmo;Unspecified;176;Unspecified;1;2011;Summer;7;0;1.0;28;South;17;31.809739;34.568481;100,456.34,600
Inshore;07/07/2011;23;Rsh-Jaf;Swimming;50;Oct-30;Rhopilema nomadica;1;177;Unspecified;1;2011;Summer;7;0;1.0;28;South;16;31.809739;34.568481;100,456.34,600
Inshore;07/07/2011;23;Rsh-Jaf;Swimming;50;Oct-30;Rhizostoma pulmo;1;178;Unspecified;1;2011;Summer;7;0;1.0;28;South;16;31.809739;34.568481;100,456.34,600
